<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.20	15:45:00	99745	99870	99735	99795	12706	49057	5
2019.03.20	15:50:00	99790	99935	99750	99855	15287	53689	5
2019.03.20	15:55:00	99855	99900	99715	99790	14862	50193	5
2019.03.20	16:00:00	99790	99810	99525	99575	17883	61725	5
2019.03.20	16:05:00	99580	99620	99430	99570	18959	65931	5
2019.03.20	16:10:00	99575	99675	99410	99440	19167	71496	5
2019.03.20	16:15:00	99435	99455	99315	99405	11990	42912	5
2019.03.20	16:20:00	99405	99410	99005	99035	24188	87089	5
2019.03.20	16:25:00	99030	99145	98535	98715	31143	115510	5
2019.03.20	16:30:00	98715	98740	98275	98485	34986	120769	5
2019.03.20	16:35:00	98490	98750	98450	98670	20419	78600	5
2019.03.20	16:40:00	98675	99110	98620	99075	19245	72124	5
2019.03.20	16:45:00	99085	99250	98960	98975	22748	83048	5
2019.03.20	16:50:00	98975	98990	98515	98560	24517	88431	5
2019.03.20	16:55:00	98560	98690	98425	98610	19218	70268	5
2019.03.20	17:00:00	98605	98650	98455	98495	10560	40829	5
2019.03.20	17:05:00	98495	98495	98325	98390	12888	45147	5
2019.03.20	17:10:00	98380	98450	98115	98260	12838	47691	5
2019.03.20	17:15:00	98260	98295	98150	98180	6120	22312	5
2019.03.20	17:20:00	98185	98185	97900	98010	11479	46208	5
2019.03.20	17:25:00	98010	98040	97940	97980	4266	17704	5
2019.03.20	17:30:00	97975	98175	97965	98035	10544	33397	5
2019.03.20	17:35:00	98030	98090	97925	97995	7554	26575	5
2019.03.20	17:40:00	97995	98070	97950	98065	5408	16092	5
2019.03.20	17:45:00	98070	98070	97850	97920	6469	20886	5
2019.03.20	17:50:00	97915	97955	97800	97800	3995	15554	5
2019.03.21	09:00:00	97700	97745	97465	97640	12755	49741	5
2019.03.21	09:05:00	97640	97895	97640	97685	25745	84487	5
2019.03.21	09:10:00	97680	97720	97535	97630	19986	61299	5
2019.03.21	09:15:00	97635	97840	97630	97810	17925	53786	5
2019.03.21	09:20:00	97805	97845	97575	97620	21005	62829	5
2019.03.21	09:25:00	97620	97800	97620	97785	14827	44477	5
2019.03.21	09:30:00	97785	97945	97765	97890	30037	86716	5
2019.03.21	09:35:00	97890	98160	97885	98160	34487	101061	5
2019.03.21	09:40:00	98160	98170	97975	98030	20493	65889	5
2019.03.21	09:45:00	98025	98105	97935	98000	18631	56474	5
2019.03.21	09:50:00	98005	98005	97855	97925	18260	52124	5
2019.03.21	09:55:00	97920	98150	97880	98135	18678	53864	5
2019.03.21	10:00:00	98140	98245	98095	98205	26110	79932	5
2019.03.21	10:05:00	98210	98215	98010	98155	27196	76817	5
2019.03.21	10:10:00	98155	98265	98070	98230	28725	86328	5
2019.03.21	10:15:00	98230	98320	98160	98305	22190	71624	5
2019.03.21	10:20:00	98305	98360	98225	98245	17447	53942	5
2019.03.21	10:25:00	98240	98315	98180	98195	14680	49169	5
2019.03.21	10:30:00	98195	98285	98040	98095	34537	95159	5
2019.03.21	10:35:00	98095	98260	98065	98100	24377	65381	5
2019.03.21	10:40:00	98100	98160	97880	98055	34747	94905	5
2019.03.21	10:45:00	98050	98135	97995	98030	19893	63911	5
2019.03.21	10:50:00	98030	98035	97790	97810	27341	87803	5
2019.03.21	10:55:00	97815	97855	97645	97685	28096	96070	5
2019.03.21	11:00:00	97685	97780	97610	97750	25480	80183	5
2019.03.21	11:05:00	97750	97805	97655	97780	21553	65738	5
2019.03.21	11:10:00	97785	97845	97635	97675	22221	66097	5
2019.03.21	11:15:00	97675	97720	97090	97130	48717	162957	5
2019.03.21	11:20:00	97125	97390	97010	97355	41151	146286	5
2019.03.21	11:25:00	97350	97445	97145	97155	25480	83623	5
2019.03.21	11:30:00	97160	97245	96925	96950	33136	112463	5
2019.03.21	11:35:00	96950	97050	96820	96835	26243	89766	5
2019.03.21	11:40:00	96835	96915	96655	96690	28468	94435	5
2019.03.21	11:45:00	96690	96795	96560	96680	32255	109577	5
2019.03.21	11:50:00	96675	96875	96635	96705	28672	92939	5
2019.03.21	11:55:00	96705	96935	96550	96925	26384	80545	5
2019.03.21	12:00:00	96925	97085	96905	96990	23758	84651	5
2019.03.21	12:05:00	96990	97005	96705	96785	26069	85722	5
2019.03.21	12:10:00	96785	96795	96365	96415	31117	104236	5
2019.03.21	12:15:00	96410	96640	96345	96565	28806	91353	5
2019.03.21	12:20:00	96560	96725	96525	96530	19959	64949	5
2019.03.21	12:25:00	96530	96540	96230	96260	30685	100373	5
2019.03.21	12:30:00	96260	96400	96130	96265	24457	78594	5
2019.03.21	12:35:00	96265	96380	96090	96105	18211	59443	5
2019.03.21	12:40:00	96100	96220	96015	96100	23750	82173	5
2019.03.21	12:45:00	96095	96215	96020	96070	16562	56273	5
2019.03.21	12:50:00	96065	96130	96030	96075	10285	33967	5
2019.03.21	12:55:00	96075	96140	95965	96040	18476	61889	5
2019.03.21	13:00:00	96035	96055	95770	95835	24873	89419	5
2019.03.21	13:05:00	95835	95975	95775	95880	18584	65203	5
2019.03.21	13:10:00	95885	95990	95865	95905	13183	44691	5
2019.03.21	13:15:00	95900	95975	95825	95910	13112	44308	5
2019.03.21	13:20:00	95910	96170	95870	96155	20555	66828	5
2019.03.21	13:25:00	96155	96220	96005	96205	18877	60675	5
2019.03.21	13:30:00	96210	96260	96115	96175	17285	58831	5
2019.03.21	13:35:00	96180	96195	96070	96140	13225	45087	5
2019.03.21	13:40:00	96145	96250	96110	96240	11536	38891	5
2019.03.21	13:45:00	96240	96280	96120	96265	12177	42095	5
2019.03.21	13:50:00	96270	96365	96250	96350	13801	48372	5
2019.03.21	13:55:00	96345	96440	96260	96360	15323	51329	5
2019.03.21	14:00:00	96360	96670	96360	96545	21942	78340	5
2019.03.21	14:05:00	96545	96750	96530	96735	16309	58307	5
2019.03.21	14:10:00	96740	96750	96575	96595	18698	63808	5
2019.03.21	14:15:00	96595	96735	96580	96625	11898	44627	5
2019.03.21	14:20:00	96625	96685	96600	96615	7907	28994	5
2019.03.21	14:25:00	96615	96690	96525	96605	13869	48863	5
2019.03.21	14:30:00	96600	96690	96540	96675	11747	43295	5
2019.03.21	14:35:00	96685	96895	96665	96715	25794	92235	5
2019.03.21	14:40:00	96715	96790	96665	96780	11360	38850	5
2019.03.21	14:45:00	96780	96850	96705	96845	11920	39063	5
2019.03.21	14:50:00	96850	96885	96760	96835	12020	43662	5
2019.03.21	14:55:00	96840	96895	96785	96885	11452	39295	5
2019.03.21	15:00:00	96880	97035	96875	96970	18301	62976	5
2019.03.21	15:05:00	96970	97090	96960	97080	12675	46255	5
2019.03.21	15:10:00	97080	97245	97055	97180	27374	99866	5
2019.03.21	15:15:00	97180	97185	96855	96885	28163	101187	5
2019.03.21	15:20:00	96880	97000	96785	96985	22433	82203	5
2019.03.21	15:25:00	96985	96995	96850	96945	13207	48314	5
2019.03.21	15:30:00	96950	96995	96815	96975	13544	47171	5
2019.03.21	15:35:00	96980	97090	96875	96945	23911	83633	5
2019.03.21	15:40:00	96935	97150	96880	97145	13570	48281	5
2019.03.21	15:45:00	97145	97225	97095	97195	13365	48807	5
2019.03.21	15:50:00	97195	97200	97075	97185	11546	41893	5
2019.03.21	15:55:00	97180	97285	96920	96975	25244	87659	5
2019.03.21	16:00:00	96975	97185	96945	97165	13728	48259	5
2019.03.21	16:05:00	97170	97240	97110	97135	13270	46471	5
2019.03.21	16:10:00	97140	97180	97035	97130	11060	38156	5
2019.03.21	16:15:00	97130	97200	97100	97145	8614	30640	5
2019.03.21	16:20:00	97145	97480	97145	97460	16558	57976	5
2019.03.21	16:25:00	97460	97475	97235	97240	17090	60258	5
2019.03.21	16:30:00	97235	97305	97110	97140	14175	52080	5
2019.03.21	16:35:00	97145	97220	96810	97040	28753	98537	5
2019.03.21	16:40:00	97040	97175	96970	97025	11714	42618	5
2019.03.21	16:45:00	97025	97145	97020	97080	9269	31467	5
2019.03.21	16:50:00	97080	97140	96955	96970	11559	42972	5
2019.03.21	16:55:00	96970	97165	96885	97165	13774	54633	5
2019.03.21	17:00:00	97160	97165	96990	97025	8023	29673	5
2019.03.21	17:05:00	97030	97030	96850	96890	9960	37318	5
2019.03.21	17:10:00	96890	96895	96780	96820	8788	33401	5
2019.03.21	17:15:00	96825	96850	96720	96770	8279	30627	5
2019.03.21	17:20:00	96775	96855	96770	96805	4206	17673	5
2019.03.21	17:25:00	96810	96845	96805	96825	2288	9438	5
2019.03.21	17:30:00	96830	97065	96825	96940	8769	32658	5
2019.03.21	17:35:00	96940	97030	96885	97020	4186	15825	5
2019.03.21	17:40:00	97015	97085	96960	97025	5936	19271	5
2019.03.21	17:45:00	97030	97065	96890	96955	5496	19738	5
2019.03.21	17:50:00	96945	97175	96925	97175	4509	16942	5
2019.03.22	09:05:00	95370	95370	94865	94900	44045	124087	5
2019.03.22	09:10:00	94900	95100	94830	95060	30047	74707	5
2019.03.22	09:15:00	95060	95245	95035	95130	23734	68528	5
2019.03.22	09:20:00	95130	95140	94670	94675	37612	115010	5
2019.03.22	09:25:00	94675	94770	94420	94480	32673	97504	5
2019.03.22	09:30:00	94480	94805	94455	94760	30025	91614	5
2019.03.22	09:35:00	94755	94785	94505	94595	20220	54490	5
2019.03.22	09:40:00	94595	94890	94530	94840	23820	70168	5
2019.03.22	09:45:00	94840	95055	94830	94905	23925	73062	5
2019.03.22	09:50:00	94910	95010	94850	94955	13153	39696	5
2019.03.22	09:55:00	94955	95095	94925	95080	17247	47447	5
2019.03.22	10:00:00	95085	95225	95025	95115	23267	70046	5
2019.03.22	10:05:00	95115	95295	95090	95225	24088	70576	5
2019.03.22	10:10:00	95225	95250	94870	95215	33883	90412	5
2019.03.22	10:15:00	95210	95295	95075	95115	26706	80320	5
2019.03.22	10:20:00	95120	95250	95005	95150	20258	59910	5
2019.03.22	10:25:00	95145	95390	95060	95205	26003	78332	5
2019.03.22	10:30:00	95205	95575	95205	95490	36295	104508	5
2019.03.22	10:35:00	95485	95670	95415	95665	32305	89411	5
2019.03.22	10:40:00	95660	95725	95535	95615	28293	76651	5
2019.03.22	10:45:00	95615	95615	95240	95265	37555	102171	5
2019.03.22	10:50:00	95265	95275	94925	94965	43288	118895	5
2019.03.22	10:55:00	94965	94965	94655	94805	39617	110502	5
2019.03.22	11:00:00	94810	95120	94775	94875	37240	98020	5
2019.03.22	11:05:00	94870	95185	94870	95105	26158	75742	5
2019.03.22	11:10:00	95105	95110	94915	94985	19623	60062	5
2019.03.22	11:15:00	94980	95290	94900	95275	25401	79470	5
2019.03.22	11:20:00	95280	95280	95125	95165	15117	49371	5
2019.03.22	11:25:00	95165	95270	94930	95000	23796	74827	5
2019.03.22	11:30:00	95000	95125	94950	95045	17700	53634	5
2019.03.22	11:35:00	95045	95380	95045	95230	23871	78526	5
2019.03.22	11:40:00	95230	95260	94960	95175	24254	76562	5
2019.03.22	11:45:00	95170	95225	95020	95170	16638	53184	5
2019.03.22	11:50:00	95165	95210	95020	95075	18763	57593	5
2019.03.22	11:55:00	95070	95165	94880	94890	20374	64848	5
2019.03.22	12:00:00	94890	95005	94800	94880	24893	77527	5
2019.03.22	12:05:00	94880	94945	94780	94855	17811	58951	5
2019.03.22	12:10:00	94855	95495	94810	95325	44894	135840	5
2019.03.22	12:15:00	95325	95335	94980	95210	32205	104107	5
2019.03.22	12:20:00	95205	95240	95025	95120	17126	56097	5
2019.03.22	12:25:00	95120	95295	95060	95090	16595	51744	5
2019.03.22	12:30:00	95095	95265	95060	95225	11836	37679	5
2019.03.22	12:35:00	95225	95275	95140	95210	12436	39438	5
2019.03.22	12:40:00	95210	95210	94910	94915	17306	57505	5
2019.03.22	12:45:00	94920	94920	94760	94790	21417	72659	5
2019.03.22	12:50:00	94790	94850	94580	94600	25940	88955	5
2019.03.22	12:55:00	94605	94685	94395	94435	24330	80505	5
2019.03.22	13:00:00	94430	94675	94350	94550	29325	98368	5
2019.03.22	13:05:00	94550	94620	94450	94495	16080	53054	5
2019.03.22	13:10:00	94495	94645	94435	94540	14871	46720	5
2019.03.22	13:15:00	94540	94630	94490	94520	12365	37400	5
2019.03.22	13:20:00	94520	94635	94425	94615	15400	50621	5
2019.03.22	13:25:00	94615	94620	94435	94535	11843	37764	5
2019.03.22	13:30:00	94530	94590	94450	94525	12474	40998	5
2019.03.22	13:35:00	94530	94550	94290	94345	24031	82574	5
2019.03.22	13:40:00	94350	94350	94055	94175	28677	101941	5
2019.03.22	13:45:00	94180	94195	94060	94070	14749	50484	5
2019.03.22	13:50:00	94065	94345	94030	94325	22067	76363	5
2019.03.22	13:55:00	94335	94345	94145	94280	14775	48822	5
2019.03.22	14:00:00	94275	94365	94245	94325	11839	40316	5
2019.03.22	14:05:00	94330	94460	94300	94450	12551	43197	5
2019.03.22	14:10:00	94455	94540	94440	94510	14956	48880	5
2019.03.22	14:15:00	94510	94550	94430	94500	13311	44309	5
2019.03.22	14:20:00	94495	94500	94375	94435	12434	41608	5
2019.03.22	14:25:00	94440	94495	94400	94470	8573	27668	5
2019.03.22	14:30:00	94465	94660	94455	94530	21502	71981	5
2019.03.22	14:35:00	94535	94610	94435	94500	12869	42643	5
2019.03.22	14:40:00	94500	94530	94245	94410	26056	87072	5
2019.03.22	14:45:00	94410	94450	94275	94305	12628	45741	5
2019.03.22	14:50:00	94310	94375	94220	94300	16154	57080	5
2019.03.22	14:55:00	94300	94345	94140	94155	16096	61670	5
2019.03.22	15:00:00	94160	94160	93855	93980	44279	157572	5
2019.03.22	15:05:00	93980	94075	93885	94015	17190	64689	5
2019.03.22	15:10:00	94010	94240	94000	94095	23121	81402	5
2019.03.22	15:15:00	94100	94340	94095	94215	18228	64423	5
2019.03.22	15:20:00	94215	94325	94150	94305	13806	44066	5
2019.03.22	15:25:00	94300	94530	94300	94425	26381	89407	5
2019.03.22	15:30:00	94425	94455	94150	94255	21677	74734	5
2019.03.22	15:35:00	94250	94370	94210	94265	14405	50185	5
2019.03.22	15:40:00	94260	94320	94150	94210	12949	44770	5
2019.03.22	15:45:00	94210	94245	94030	94175	17418	57937	5
2019.03.22	15:50:00	94175	94365	94160	94240	16146	53390	5
2019.03.22	15:55:00	94245	94300	94175	94285	11109	40100	5
2019.03.22	16:00:00	94285	94360	94195	94235	11870	38015	5
2019.03.22	16:05:00	94230	94280	94075	94135	13914	48361	5
2019.03.22	16:10:00	94140	94155	93900	93930	18597	65404	5
2019.03.22	16:15:00	93930	94045	93840	93965	22813	79910	5
2019.03.22	16:20:00	93970	94065	93920	93930	10791	37446	5
2019.03.22	16:25:00	93925	93960	93620	93635	23446	82923	5
2019.03.22	16:30:00	93635	93745	93605	93625	15314	57058	5
2019.03.22	16:35:00	93625	93775	93625	93680	17047	63250	5
2019.03.22	16:40:00	93680	93860	93670	93815	13575	48310	5
2019.03.22	16:45:00	93810	93845	93700	93775	9345	35312	5
2019.03.22	16:50:00	93775	93815	93745	93780	7158	28138	5
2019.03.22	16:55:00	93785	93870	93680	93755	15791	58709	5
2019.03.22	17:00:00	93755	93910	93730	93895	11747	41900	5
2019.03.22	17:05:00	93900	93930	93800	93870	9936	34341	5
2019.03.22	17:10:00	93865	93915	93750	93770	6736	22985	5
2019.03.22	17:15:00	93765	93785	93650	93705	8146	30147	5
2019.03.22	17:20:00	93705	93780	93635	93725	5919	22036	5
2019.03.22	17:25:00	93725	93755	93675	93720	3101	10731	5
2019.03.22	17:30:00	93715	93795	93700	93745	5031	15853	5
2019.03.22	17:35:00	93745	93770	93680	93695	4377	12696	5
2019.03.22	17:40:00	93690	93905	93655	93720	10911	39758	5
2019.03.22	17:45:00	93720	93765	93550	93565	7145	21992	5
2019.03.22	17:50:00	93560	93630	93535	93545	4415	16076	5
2019.03.25	09:05:00	92195	92485	92070	92475	28455	78707	5
2019.03.25	09:10:00	92470	92595	92390	92575	30296	70432	5
2019.03.25	09:15:00	92575	92765	92520	92725	31681	76335	5
2019.03.25	09:20:00	92725	92865	92675	92775	25298	67069	5
2019.03.25	09:25:00	92775	92890	92550	92795	36475	88210	5
2019.03.25	09:30:00	92795	92995	92785	92995	21697	54767	5
2019.03.25	09:35:00	92990	93015	92880	92960	18365	49578	5
2019.03.25	09:40:00	92960	93200	92945	93195	24035	73464	5
2019.03.25	09:45:00	93200	93295	93090	93140	23432	71721	5
2019.03.25	09:50:00	93140	93285	93105	93245	15807	46314	5
2019.03.25	09:55:00	93250	93300	93100	93205	18176	54479	5
2019.03.25	10:00:00	93200	93440	93195	93315	32309	97779	5
2019.03.25	10:05:00	93310	93480	93280	93435	22430	68057	5
2019.03.25	10:10:00	93435	93570	93285	93500	26315	82088	5
2019.03.25	10:15:00	93495	93720	93485	93680	25573	81758	5
2019.03.25	10:20:00	93680	93795	93605	93780	23924	77354	5
2019.03.25	10:25:00	93780	93945	93715	93855	26371	87470	5
2019.03.25	10:30:00	93860	94080	93745	93865	45291	147320	5
2019.03.25	10:35:00	93865	94195	93820	94155	38759	126779	5
2019.03.25	10:40:00	94150	94310	94070	94270	28938	99335	5
2019.03.25	10:45:00	94270	94340	94155	94210	30566	101349	5
2019.03.25	10:50:00	94210	94260	93870	93890	35723	116610	5
2019.03.25	10:55:00	93895	93950	93750	93940	28052	91666	5
2019.03.25	11:00:00	93940	94220	93935	94100	36803	118973	5
2019.03.25	11:05:00	94100	94240	94085	94135	20945	66569	5
2019.03.25	11:10:00	94130	94135	93645	93680	45295	148501	5
2019.03.25	11:15:00	93675	93845	93660	93755	22348	72964	5
2019.03.25	11:20:00	93750	93980	93705	93950	23164	71724	5
2019.03.25	11:25:00	93955	94145	93935	94125	22177	75015	5
2019.03.25	11:30:00	94125	94400	94115	94325	27779	97801	5
2019.03.25	11:35:00	94325	94425	94220	94250	25787	86236	5
2019.03.25	11:40:00	94250	94660	94245	94580	36679	127552	5
2019.03.25	11:45:00	94580	94725	94475	94590	29848	105406	5
2019.03.25	11:50:00	94590	94660	94540	94550	13900	51753	5
2019.03.25	11:55:00	94550	94690	94510	94580	15554	53969	5
2019.03.25	12:00:00	94580	94605	94430	94465	22585	77146	5
2019.03.25	12:05:00	94465	94575	94315	94320	22472	77011	5
2019.03.25	12:10:00	94315	94335	94185	94230	20306	76901	5
2019.03.25	12:15:00	94230	94380	94160	94370	18914	69977	5
2019.03.25	12:20:00	94375	94400	94290	94325	13169	49917	5
2019.03.25	12:25:00	94320	94395	94245	94335	14754	58911	5
2019.03.25	12:30:00	94330	94440	94175	94210	24918	90589	5
2019.03.25	12:35:00	94205	94285	94145	94215	19272	71297	5
2019.03.25	12:40:00	94210	94225	93990	94080	22631	79297	5
2019.03.25	12:45:00	94085	94195	94070	94160	11077	38381	5
2019.03.25	12:50:00	94160	94320	94160	94265	13956	45221	5
2019.03.25	12:55:00	94265	94375	94200	94205	14832	48549	5
2019.03.25	13:00:00	94205	94295	94160	94270	14583	46397	5
2019.03.25	13:05:00	94270	94325	94205	94210	10044	32520	5
2019.03.25	13:10:00	94205	94295	94175	94275	9814	28622	5
2019.03.25	13:15:00	94275	94320	94215	94290	8210	25890	5
2019.03.25	13:20:00	94290	94415	94290	94405	12045	41705	5
2019.03.25	13:25:00	94405	94515	94355	94405	15043	46232	5
2019.03.25	13:30:00	94405	94410	94200	94235	16408	53765	5
2019.03.25	13:35:00	94230	94280	94035	94110	21315	68824	5
2019.03.25	13:40:00	94110	94135	93930	94040	22727	71784	5
2019.03.25	13:45:00	94035	94070	93900	94045	17913	57294	5
2019.03.25	13:50:00	94050	94105	93975	94070	14378	48770	5
2019.03.25	13:55:00	94065	94135	93990	94120	11672	37180	5
2019.03.25	14:00:00	94120	94170	93870	93875	19537	62991	5
2019.03.25	14:05:00	93880	93900	93705	93760	26237	88945	5
2019.03.25	14:10:00	93760	93830	93595	93595	23400	77578	5
2019.03.25	14:15:00	93600	93645	93415	93595	27286	90285	5
2019.03.25	14:20:00	93595	93600	93465	93585	16380	55227	5
2019.03.25	14:25:00	93585	93600	93340	93445	21289	74223	5
2019.03.25	14:30:00	93440	93820	93415	93790	29951	94908	5
2019.03.25	14:35:00	93790	93895	93695	93820	21567	68774	5
2019.03.25	14:40:00	93830	94215	93720	93845	34548	108470	5
2019.03.25	14:45:00	93845	93885	93620	93705	24525	82291	5
2019.03.25	14:50:00	93700	93790	93585	93645	17512	57357	5
2019.03.25	14:55:00	93645	93740	93550	93650	17823	62126	5
2019.03.25	15:00:00	93645	93695	93445	93480	16641	58790	5
2019.03.25	15:05:00	93475	93585	93350	93450	21998	78504	5
2019.03.25	15:10:00	93445	93760	93390	93615	21885	72107	5
2019.03.25	15:15:00	93620	93970	93615	93915	30359	100940	5
2019.03.25	15:20:00	93910	93950	93585	93630	20508	71576	5
2019.03.25	15:25:00	93625	93675	93510	93655	14380	46582	5
2019.03.25	15:30:00	93655	93860	93585	93830	16029	53855	5
2019.03.25	15:35:00	93830	93910	93765	93900	11658	43715	5
2019.03.25	15:40:00	93895	93935	93770	93835	12934	46963	5
2019.03.25	15:45:00	93835	94040	93810	93950	17390	58982	5
2019.03.25	15:50:00	93955	94135	93945	94090	15095	53112	5
2019.03.25	15:55:00	94090	94295	94090	94275	16987	57218	5
2019.03.25	16:00:00	94275	94415	94260	94370	20508	70065	5
2019.03.25	16:05:00	94365	94415	94285	94375	12537	44029	5
2019.03.25	16:10:00	94380	94470	94335	94365	15276	55568	5
2019.03.25	16:15:00	94365	94395	94180	94240	18308	61932	5
2019.03.25	16:20:00	94240	94305	94150	94170	10377	36149	5
2019.03.25	16:25:00	94165	94175	93960	93985	20658	74618	5
2019.03.25	16:30:00	93990	94050	93820	93845	17714	64014	5
2019.03.25	16:35:00	93845	94045	93815	93980	17425	58255	5
2019.03.25	16:40:00	93985	94120	93855	93910	19774	68353	5
2019.03.25	16:45:00	93910	93990	93655	93690	19285	65007	5
2019.03.25	16:50:00	93690	93840	93685	93760	14177	48138	5
2019.03.25	16:55:00	93765	93895	93710	93850	15950	58863	5
2019.03.25	17:00:00	93845	94030	93830	93985	14188	48994	5
2019.03.25	17:05:00	93985	94045	93850	93975	10560	42057	5
2019.03.25	17:10:00	93970	93990	93865	93915	7569	29751	5
2019.03.25	17:15:00	93915	93970	93890	93940	4841	18897	5
2019.03.25	17:20:00	93945	94035	93915	94025	4803	22133	5
2019.03.25	17:25:00	94020	94115	94000	94035	6182	26348	5
2019.03.25	17:30:00	94035	94155	94005	94085	7292	31564	5
2019.03.25	17:35:00	94090	94100	93895	93900	4977	19597	5
2019.03.25	17:40:00	93900	94010	93885	93940	4539	14412	5
2019.03.25	17:45:00	93945	94125	93910	94045	6796	22020	5
2019.03.25	17:50:00	94055	94120	93955	94065	4106	15483	5
2019.03.26	09:00:00	94745	94950	94580	94880	20807	68843	5
2019.03.26	09:05:00	94870	94970	94790	94815	18549	67808	5
2019.03.26	09:10:00	94810	94835	94760	94815	11677	36451	5
2019.03.26	09:15:00	94815	94830	94725	94745	11193	36790	5
2019.03.26	09:20:00	94745	94825	94730	94775	10852	32533	5
2019.03.26	09:25:00	94775	94800	94505	94580	17213	48095	5
2019.03.26	09:30:00	94580	94650	94465	94545	30451	91149	5
2019.03.26	09:35:00	94545	94555	94420	94445	16908	51422	5
2019.03.26	09:40:00	94445	94545	94400	94475	18924	55745	5
2019.03.26	09:45:00	94475	94685	94445	94615	31090	92696	5
2019.03.26	09:50:00	94615	94775	94585	94720	22048	70163	5
2019.03.26	09:55:00	94720	94830	94635	94725	19977	59379	5
2019.03.26	10:00:00	94720	94790	94490	94625	39607	123422	5
2019.03.26	10:05:00	94625	94700	94530	94665	23785	68755	5
2019.03.26	10:10:00	94670	94825	94545	94600	30950	93835	5
2019.03.26	10:15:00	94600	94935	94590	94920	29827	92286	5
2019.03.26	10:20:00	94920	95035	94855	95010	29167	94363	5
2019.03.26	10:25:00	95005	95120	94945	95005	32756	108384	5
2019.03.26	10:30:00	95005	95035	94855	94945	32099	95115	5
2019.03.26	10:35:00	94945	95065	94815	94990	29287	92585	5
2019.03.26	10:40:00	94990	95035	94875	94900	21474	68708	5
2019.03.26	10:45:00	94900	94970	94770	94800	24639	77674	5
2019.03.26	10:50:00	94800	94895	94695	94880	30751	94105	5
2019.03.26	10:55:00	94875	95085	94865	95020	23077	78808	5
2019.03.26	11:00:00	95020	95025	94760	94770	24175	80516	5
2019.03.26	11:05:00	94770	94785	94525	94635	46161	144944	5
2019.03.26	11:10:00	94640	94650	94390	94520	42536	143441	5
2019.03.26	11:15:00	94525	94635	94470	94555	20747	66371	5
2019.03.26	11:20:00	94560	94575	94315	94455	33383	108511	5
2019.03.26	11:25:00	94455	94535	94335	94335	23880	77546	5
2019.03.26	11:30:00	94340	94465	94285	94445	21906	70281	5
2019.03.26	11:35:00	94445	94535	94325	94420	23726	76837	5
2019.03.26	11:40:00	94425	94465	94170	94235	26985	92287	5
2019.03.26	11:45:00	94235	94545	94180	94515	27573	84469	5
2019.03.26	11:50:00	94510	94760	94460	94735	25170	84159	5
2019.03.26	11:55:00	94735	95015	94695	94860	35389	120585	5
2019.03.26	12:00:00	94860	94970	94760	94790	20782	70690	5
2019.03.26	12:05:00	94785	94925	94775	94810	14228	50135	5
2019.03.26	12:10:00	94810	94890	94755	94790	15398	58784	5
2019.03.26	12:15:00	94790	94800	94605	94620	19810	70125	5
2019.03.26	12:20:00	94615	94775	94605	94675	16434	60593	5
2019.03.26	12:25:00	94670	94720	94555	94705	17162	60987	5
2019.03.26	12:30:00	94705	94915	94700	94805	26228	87866	5
2019.03.26	12:35:00	94810	95100	94805	95070	23943	82587	5
2019.03.26	12:40:00	95075	95245	95060	95215	22894	82731	5
2019.03.26	12:45:00	95215	95275	95110	95195	19420	64664	5
2019.03.26	12:50:00	95200	95200	95020	95060	20014	67562	5
2019.03.26	12:55:00	95060	95165	94995	95035	17638	63133	5
2019.03.26	13:00:00	95035	95165	95025	95145	13294	51473	5
2019.03.26	13:05:00	95140	95365	95135	95280	24712	82346	5
2019.03.26	13:10:00	95275	95300	95180	95290	14882	52921	5
2019.03.26	13:15:00	95290	95385	95260	95310	14122	48831	5
2019.03.26	13:20:00	95315	95335	95100	95110	15109	54023	5
2019.03.26	13:25:00	95110	95185	95085	95120	11647	42950	5
2019.03.26	13:30:00	95120	95145	94960	95070	19762	67271	5
2019.03.26	13:35:00	95070	95190	95035	95135	17780	63051	5
2019.03.26	13:40:00	95140	95185	95025	95065	12925	44056	5
2019.03.26	13:45:00	95060	95120	95015	95110	8868	30902	5
2019.03.26	13:50:00	95105	95270	95090	95215	14794	46160	5
2019.03.26	13:55:00	95210	95330	95145	95325	16453	57142	5
2019.03.26	14:00:00	95320	95450	95275	95380	20889	75654	5
2019.03.26	14:05:00	95375	95430	95210	95240	15444	56344	5
2019.03.26	14:10:00	95240	95275	95200	95215	8366	33277	5
2019.03.26	14:15:00	95215	95265	95190	95250	8164	28671	5
2019.03.26	14:20:00	95255	95360	95215	95255	16546	55113	5
2019.03.26	14:25:00	95260	95330	95210	95305	11661	43559	5
2019.03.26	14:30:00	95305	95480	95305	95405	21188	81546	5
2019.03.26	14:35:00	95410	95435	95255	95305	16196	61117	5
2019.03.26	14:40:00	95305	95345	95230	95270	10390	35853	5
2019.03.26	14:45:00	95270	95390	95265	95355	11466	40659	5
2019.03.26	14:50:00	95350	95570	95350	95535	28978	113300	5
2019.03.26	14:55:00	95535	95640	95455	95595	22127	85163	5
2019.03.26	15:00:00	95590	95635	95375	95430	22415	86504	5
2019.03.26	15:05:00	95430	95570	95370	95390	14792	52556	5
2019.03.26	15:10:00	95390	95425	95180	95240	24061	79783	5
2019.03.26	15:15:00	95245	95455	95240	95410	17198	60854	5
2019.03.26	15:20:00	95415	95480	95255	95385	18229	65902	5
